[2024-04-30 21:59:09,292    GlobalStatic.py:Create_InitLogger:    INFO] **************************************Program Start*****************************************
[2024-04-30 21:59:09,293    GlobalStatic.py:Create_InitLogger:    INFO] {'result': '1'}
[2024-04-30 21:59:09,690             TCP.py:     query:    INFO] {'result': '1', 'data': '\n'}
[2024-04-30 21:59:09,690              IQ.py:     Write:    INFO] {'result': '1', 'data': '\n'}
[2024-04-30 21:59:09,690              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:09,690             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:09,690             TCP.py:     write:    INFO] MROUT:DEF:ADD ROUT12,"LOCALHOST";MVSG:DEF:ADD VSG12,"LOCALHOST";MVSA:DEF:ADD VSA12,"LOCALHOST";
[2024-04-30 21:59:09,690             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:09,690             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:09,884             TCP.py:     query:    INFO] 0,"No error"
[2024-04-30 21:59:09,884             TCP.py:     query:    INFO] {'result': '1', 'data': '0,"No error"'}
[2024-04-30 21:59:09,885              IQ.py:     Write:    INFO] {'result': '1', 'data': '0,"No error"'}
[2024-04-30 21:59:09,885              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:09,885             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:09,885             TCP.py:     write:    INFO] MVSA1; MRST;
[2024-04-30 21:59:09,885             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:09,885             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:09,908             TCP.py:     query:    INFO] ;0,"No error";0,"No error"
[2024-04-30 21:59:09,908             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error";0,"No error"'}
[2024-04-30 21:59:09,908              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error";0,"No error"'}
[2024-04-30 21:59:09,909              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:09,909             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:09,909             TCP.py:     write:    INFO] MVSA2; MRST;
[2024-04-30 21:59:09,909             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:09,909             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:10,118             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 21:59:10,118             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,118              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,118              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:10,118             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:10,118             TCP.py:     write:    INFO] MVSG1; MRST;
[2024-04-30 21:59:10,118             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:10,118             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:10,336             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 21:59:10,336             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,337              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,337              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:10,337             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:10,337             TCP.py:     write:    INFO] MVSG2; MRST;
[2024-04-30 21:59:10,337             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:10,337             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:10,539             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 21:59:10,540             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,540              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,540              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:10,540             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:10,540             TCP.py:     write:    INFO] MROUT1;PORT:RES RF1A,OFF;PORT:RES RF2A,OFF;PORT:RES RF3A,OFF;PORT:RES RF4A,OFF;
[2024-04-30 21:59:10,540             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:10,541             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:10,757             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 21:59:10,757             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,757              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,758              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:10,758             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:10,758             TCP.py:     write:    INFO] MROUT2;PORT:RES RF1B,OFF;PORT:RES RF2B,OFF;PORT:RES RF3B,OFF;PORT:RES RF4B,OFF;
[2024-04-30 21:59:10,758             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:10,758             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:10,960             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 21:59:10,960             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,960              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:10,960              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 21:59:10,960             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 21:59:10,961             TCP.py:     write:    INFO] TABL:LOSS:DEL:ALL;
[2024-04-30 21:59:10,961             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 21:59:10,961             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 21:59:11,163             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 21:59:11,163             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:11,163              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:11,165              IQ.py:   connect:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 21:59:11,165             cli.py:  <module>:    INFO] {'result': '1', 'data': ';0,"No error"', 'cls_obj': <IQ.IQ.IQ object at 0x0000020522595CD0>}
[2024-04-30 21:59:11,165             cli.py:  <module>:    INFO] ********************************************************************************************
[2024-04-30 21:59:11,165             cli.py:  <module>:    INFO] CMD#
[2024-04-30 22:00:07,281             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,GenCW,1575.52,-120,1,2A
[2024-04-30 22:00:07,281              IQ.py:     GenCW:    INFO] IQ.IQ:GenCW start
[2024-04-30 22:00:07,281              IQ.py:   GetLoss:    INFO] IQ.IQ:GetLoss start
[2024-04-30 22:00:07,281              IQ.py:   GetLoss:    INFO] {'result': '1', 'loss': '32'}
[2024-04-30 22:00:07,281              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:07,281             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:07,281             TCP.py:     write:    INFO] MROUT1;PORT:RES RF2A, MVSG1;
[2024-04-30 22:00:07,282             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:07,282             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:07,493             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:07,493             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:07,494              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:07,494              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:07,494             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:07,494             TCP.py:     write:    INFO] MVSG1;TRIG:MODE SSH;;MVSG1;TRIG:SOUR IMM;;
[2024-04-30 22:00:07,494             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:07,494             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:07,696             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:07,696             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:07,696              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:07,696              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:07,697             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:07,697             TCP.py:     write:    INFO] MVSG1;FREQ 1575520000.000000;MVSG1;POW:LEV -88.0;
[2024-04-30 22:00:07,697             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:07,697             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:07,899             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:07,899             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:07,899              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:07,899              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:07,901             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:07,901             TCP.py:     write:    INFO] MVSG1;MOD:STAT OFF;
[2024-04-30 22:00:07,901             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:07,901             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:08,117             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:08,117             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:08,118              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:08,118              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:08,118             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:08,118             TCP.py:     write:    INFO] MVSG1;POW:STAT ON;;SYS;
[2024-04-30 22:00:08,118             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:08,118             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:08,335             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:08,337             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:08,337              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:08,337              IQ.py:     GenCW:    INFO] {'result': '1', 'data': ';0,"No error"', 'cable_loss': 32.0, 'test_data': '32.0|'}
[2024-04-30 22:00:08,337             cli.py:  <module>:    INFO] {'result': '1', 'data': ';0,"No error"', 'cable_loss': 32.0, 'test_data': '32.0|', 'cls_obj': <IQ.IQ.IQ object at 0x0000020522595CD0>}
[2024-04-30 22:00:08,337             cli.py:  <module>:    INFO] ********************************************************************************************
[2024-04-30 22:00:14,436             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,Gen_OFF,2A
[2024-04-30 22:00:14,437              IQ.py:   Gen_OFF:    INFO] IQ.IQ:Gen_OFF start
[2024-04-30 22:00:14,437              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:14,437             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:14,437             TCP.py:     write:    INFO] MROUT1;PORT:RES RF2A,OFF;
[2024-04-30 22:00:14,437             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:14,437             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:14,653             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:14,654             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:14,654              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:14,654              IQ.py:   Gen_OFF:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:14,654             cli.py:  <module>:    INFO] {'result': '1', 'data': ';0,"No error"', 'cls_obj': <IQ.IQ.IQ object at 0x0000020522595CD0>}
[2024-04-30 22:00:14,654             cli.py:  <module>:    INFO] ********************************************************************************************
[2024-04-30 22:00:26,273             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,Get_Pwr,2437,13,1,1A
[2024-04-30 22:00:26,273              IQ.py:   Get_Pwr:    INFO] IQ.IQ:Get_Pwr start
[2024-04-30 22:00:26,273              IQ.py:   GetLoss:    INFO] IQ.IQ:GetLoss start
[2024-04-30 22:00:26,274              IQ.py:   GetLoss:    INFO] {'result': '1', 'loss': '2'}
[2024-04-30 22:00:26,274              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:26,274             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:26,274             TCP.py:     write:    INFO] MROUT1;PORT:RES RF1A, MVSA1;
[2024-04-30 22:00:26,274             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:26,274             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:26,479             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:26,479             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:26,479              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:26,479              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:26,479             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:26,479             TCP.py:     write:    INFO] MVSAALL:INST:COUN 1;MVSA1;FREQ 2437000000.000000;
[2024-04-30 22:00:26,480             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:26,480             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:26,697             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:26,697             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:26,697              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:26,697              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:26,698             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:26,698             TCP.py:     write:    INFO] MVSA1;RLEV 13.0;MVSA1;TRIG:SOUR IMMediate;MVSA1;TRIG:LEV -25.000000;;MVSA1;TRIG:OFFS -0.000150;
[2024-04-30 22:00:26,698             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:26,698             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:26,900             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:26,900             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:26,900              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:26,901              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:26,901             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:26,901             TCP.py:     write:    INFO] CHAN1;
[2024-04-30 22:00:26,901             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:26,901             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:27,118             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:27,119             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,119              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,119              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:27,119             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:27,119             TCP.py:     write:    INFO] MVSA1;SRATE 160000000.000000;;MVSA1;TRIG:SOUR IMM;;MVSA1;TRIG:MODE SSH;;MVSA1;TRIG:SLOPE POS;;MVSA1;TRIG:TYPE EDGE;;MVSA1;CAPT:TIME 0.020000;;MVSA1; INIT;
[2024-04-30 22:00:27,119             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:27,119             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:27,337             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:27,337             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,337              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,337              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:27,337             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:27,338             TCP.py:     write:    INFO] GPRF;CONF:POW:PHAS:FILT NONE;
[2024-04-30 22:00:27,338             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:27,338             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:27,539             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:27,540             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,540              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,540              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:27,540             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:27,540             TCP.py:     write:    INFO] GPRF;CLE:ALL;FORMat:READings:DATA ASC;GPRF;CONF:pow:phas:spec:ILEN 1.000000e-003;GPRF;CONF:pow:phas:spec:MLEN 1.000000e-003;CALC:PHAS:INT 0,1;CALC:POW:INT 0,1;
[2024-04-30 22:00:27,540             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:27,541             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:27,757             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:27,757             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,757              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,757             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:27,757             TCP.py:     query:    INFO] GPRF;FETCh:SEGM1:POW?;
[2024-04-30 22:00:27,782             TCP.py:     query:    INFO] ;0,1.0997819e+01
[2024-04-30 22:00:27,782             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,1.0997819e+01'}
[2024-04-30 22:00:27,782              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:00:27,782             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:00:27,782             TCP.py:     write:    INFO] MROUT1;PORT:RES RF1A,OFF;
[2024-04-30 22:00:27,782             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:00:27,782             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:00:27,992             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:00:27,992             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,992              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:00:27,992              IQ.py:   Get_Pwr:    INFO] {'result': '1', 'data': ';0,1.0997819e+01', 'cable_loss': 2.0, 'test_data': '13.0|2.0|'}
[2024-04-30 22:00:27,993             cli.py:  <module>:    INFO] {'result': '1', 'data': ';0,1.0997819e+01', 'cable_loss': 2.0, 'test_data': '13.0|2.0|', 'cls_obj': <IQ.IQ.IQ object at 0x0000020522595CD0>}
[2024-04-30 22:00:27,993             cli.py:  <module>:    INFO] ********************************************************************************************
[2024-04-30 22:00:28,024             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,Cal_Golden,0,1A,2421311400037,2437 MCS0 HT_MF BW-20 TX1,13,13.0
[2024-04-30 22:00:28,024              IQ.py:Cal_Golden:    INFO] IQ.IQ:Cal_Golden start
[2024-04-30 22:00:28,024              IQ.py:Cal_Golden:    INFO] bCal = 0
[2024-04-30 22:00:28,024              IQ.py:Cal_Golden:    INFO] {'result': '1', 'compensate_loss': '0', 'test_data': '13.0|0|'}
[2024-04-30 22:00:28,024             cli.py:  <module>:    INFO] {'result': '1', 'compensate_loss': '0', 'test_data': '13.0|0|', 'cls_obj': <IQ.IQ.IQ object at 0x0000020522595CD0>}
[2024-04-30 22:00:28,024             cli.py:  <module>:    INFO] ********************************************************************************************
[2024-04-30 22:01:38,439             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,GenCW,1575.52,-120,1,2A
[2024-04-30 22:01:38,439              IQ.py:     GenCW:    INFO] IQ.IQ:GenCW start
[2024-04-30 22:01:38,439              IQ.py:   GetLoss:    INFO] IQ.IQ:GetLoss start
[2024-04-30 22:01:38,439              IQ.py:   GetLoss:    INFO] {'result': '1', 'loss': '32'}
[2024-04-30 22:01:38,439              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:01:38,439             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:01:38,439             TCP.py:     write:    INFO] MROUT1;PORT:RES RF2A, MVSG1;
[2024-04-30 22:01:38,439             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:01:38,440             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:01:38,659             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:01:38,659             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:38,659              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:38,659              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:01:38,659             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:01:38,660             TCP.py:     write:    INFO] MVSG1;TRIG:MODE SSH;;MVSG1;TRIG:SOUR IMM;;
[2024-04-30 22:01:38,660             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:01:38,660             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:01:38,877             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:01:38,877             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:38,877              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:38,878              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:01:38,878             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:01:38,878             TCP.py:     write:    INFO] MVSG1;FREQ 1575520000.000000;MVSG1;POW:LEV -88.0;
[2024-04-30 22:01:38,878             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:01:38,878             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:01:39,080             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:01:39,080             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:39,080              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:39,080              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:01:39,080             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:01:39,080             TCP.py:     write:    INFO] MVSG1;MOD:STAT OFF;
[2024-04-30 22:01:39,081             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:01:39,081             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:01:39,297             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:01:39,298             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:39,298              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:39,298              IQ.py:     Write:    INFO] IQ.IQ:Write start
[2024-04-30 22:01:39,298             TCP.py:     write:    INFO] TCP.TCP:write start
[2024-04-30 22:01:39,298             TCP.py:     write:    INFO] MVSG1;POW:STAT ON;;SYS;
[2024-04-30 22:01:39,298             TCP.py:     query:    INFO] TCP.TCP:query start
[2024-04-30 22:01:39,299             TCP.py:     query:    INFO] *wai;err:all?;
[2024-04-30 22:01:39,501             TCP.py:     query:    INFO] ;0,"No error"
[2024-04-30 22:01:39,501             TCP.py:     query:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:39,501              IQ.py:     Write:    INFO] {'result': '1', 'data': ';0,"No error"'}
[2024-04-30 22:01:39,501              IQ.py:     GenCW:    INFO] {'result': '1', 'data': ';0,"No error"', 'cable_loss': 32.0, 'test_data': '32.0|'}
[2024-04-30 22:01:39,501             cli.py:  <module>:    INFO] {'result': '1', 'data': ';0,"No error"', 'cable_loss': 32.0, 'test_data': '32.0|', 'cls_obj': <IQ.IQ.IQ object at 0x0000020522595CD0>}
[2024-04-30 22:01:39,501             cli.py:  <module>:    INFO] ********************************************************************************************
[2024-04-30 22:01:45,648             cli.py:  <module>:    INFO] CMD#$IQ.IQ,IQ,Gen_OFF,2A
